model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std
Dummy,0.8364,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1636,0.0006
LR_default,0.8528,0.0059,0.6952,0.0798,0.1935,0.0352,0.2988,0.0394,0.7707,0.0061,0.4633,0.019
LR_balanced,0.7078,0.0127,0.3196,0.0111,0.6944,0.0221,0.4376,0.0121,0.7704,0.0079,0.4617,0.0188
DT_depth5,0.8567,0.007,0.6538,0.0605,0.2699,0.033,0.3804,0.0349,0.7994,0.012,0.4608,0.0254
RF_default,0.8589,0.0075,0.6867,0.0656,0.2546,0.0281,0.3709,0.0367,0.8146,0.0232,0.4988,0.0284
RF_balanced,0.8553,0.0037,0.7031,0.0532,0.202,0.0097,0.3136,0.0145,0.8131,0.0204,0.4841,0.0329
